inventory_number,album,table,subject,place,is_existing,author,directions,link,id,notes,latitude,longitude
PA1906,Album 14,,Chiesa di Santa Maria ad Nives,,,Romolo Liverani,,,,,,
PA1907,Album 14,,Altra parte del campanile di Santa Maria ad Nives,,,Romolo Liverani,,,,,,
s.n.,Album 14,,Ex Piazza dei Celestini con i Palazzi Cavina e Foschini,,,Romolo Liverani,,,,,,
PA1908,Album 14,,Abside della chiesa di Sant’Ippolito e le mura,,,Romolo Liverani,,,,,,
PA1910,Album 14,,Abside della chiesa di Sant’Agostino e del Carmine visti dalle mura,,,Romolo Liverani,,,,,,
PA1911,Album 14,,Esterno di porta Imolese con l’attuale piazza della Rocca,,,Romolo Liverani,,,,,44.28942,11.87452
PA1912,Album 14,,Chiesa dell’Osservanza interno,,,Romolo Liverani,,,,,44.28025,11.87193
PA1917,Album 14,,Chiesa dei Cappuccini interno (chiesa precedente l’attuale),,,Romolo Liverani,,,,,,
PA1918,Album 14,,Veduta di Faenza in distanza (con abside Chiesa di Sant’Ippolito e fianco,,,Romolo Liverani,,,,,,
PA1919,Album 14,,Chiostro del Convento di San Domenico,,,Romolo Liverani,,,,,,
PA1922,Album 14,,Abside Chiesa di Sant’Ippolito (dalle mura),,,Romolo Liverani,,,,,,
PA1923,Album 14,,Cappella della Concezione in San Francesco,,,Romolo Liverani,,,,,,
PA1924,Album 14,,Chiostro del Convento di San Francesco,,,Romolo Liverani,,,,,,
PA1926,Album 14,,"Chiesa di Sant’Ippolito, facciata",,,Romolo Liverani,,,,,,
PA1927,Album 14,,Veduta posteriore di Santa Maria ad Nives,,,Romolo Liverani,,,,,,
PA1928,Album 14,,Fianco di Santa Maria ad Nives (da via del Portello),,,Romolo Liverani,,,,,,
PA1929,Album 14,,Il Fontanone (provenendo da corso Mazzini),,,Romolo Liverani,,,,,,
PA1933,Album 14,,Strada della Monaldina (via Pascoli),,,Romolo Liverani,,,,,,
PA1934,Album 14,,Chiostro di Sant’Agostino,,,Romolo Liverani,,,,,,
PA1940,Album 14,,Chiesa di San Domenico interno,,,Romolo Liverani,,,,,,
PA1941,Album 14,,Bocche dei Canali,,,Romolo Liverani,,,,,,
PA1942,Album 14,,Chiesa dei Servi interno,,,Romolo Liverani,,,,,44.28433,11.88532
PA1943,Album 14,,Cattedrale interno,,,Romolo Liverani,,,,,,
PA1945,Album 14,,Atrio di Palazzo Gessi,,,Romolo Liverani,,,,,44.24956,11.84391
PA1946,Album 14,,Porta Imolese (non più esistente),,,Romolo Liverani,,,,,44.28942,11.87452
PA1947,Album 14,,Strada di Porta Ponte (corso Saffi venendo dal Borgo),,,Romolo Liverani,,,,,,
PA1948,Album 14,,Il Fontanone (dallo Stradone),,,Romolo Liverani,,,,,,
PA1949,Album 14,,Teatro (la sala teatrale),,,Romolo Liverani,,,,,,
PA1951,Album 14,,Chiesa del Carmine facciata,,,Romolo Liverani,,,,,,
PA1952,Album 14,,Il Pubblico macello sulle mura (non più esistente),,,Romolo Liverani,,,,,,
PA1954,Album 14,,Monastero delle Mendicanti ( in via Varani non più esistente),,,Romolo Liverani,,,,,,
PA1956,Album 14,,Secondo atrio del Teatro con accesso alle scale,,,Romolo Liverani,,,,,,
PA1957,Album 14,,Il Teatro (la sala teatrale vista dal palcoscenico),,,Romolo Liverani,,,,,,
PA1958,Album 14,,Chiesa di Sant’Ippolito interno,,,Romolo Liverani,,,,,,
PA1959,Album 14,,Portico del Teatro,,,Romolo Liverani,,,,,,
PA1960,Album 14,,Chiesa di San Francesco interno,,,Romolo Liverani,,,,,,
,T. 1204,31,Candelabra nel coro piccolo del Duomo,,,,,,,,44.28594,11.88414
,T. 1204,53,"Disegni per lampade in ferro, una per la Cappella della Madonna delle Grazie in Cattedrale

(1856) e una per la Cappella dell’Immacolata all’Osservanza (1857)",,,,,,,,44.28594,11.88414
,T. 1204,56,Cancello per la Cappella dell’Immacolata all’Osservanza,,,,,,,,,
,T. 1204,57,Progetto della Residenza dell’Immacolata Concezione in San Francesco,,,,,,,,,
,T. 1204,69,Cancello della Cappella Spada in Cattedrale (1862),,,,,,,,44.28594,11.88414
,T. 1204,86,Candelabra nel coro del Duom,,,,,,,,44.28594,11.88414
,T. 1186,1,"Decorazioni casa c.te Rodolfo Zauli, 1831 (casa Zauli poi Graziani, c.so Matteotti angolo via Pier Maria Cavina)",,,,,,,,44.28444,11.88201
,T. 1186,2,"Decorazioni casa c.te Rodolfo Zauli, 1831 (casa Zauli poi Graziani, c.so Matteotti angolo via Pier Maria Cavina)",,,,,,,,,
,T. 1186,5,Stemmi di casati faentini,,,,,,,,,
,T. 1186,6,Stemmi di casati faentini,,,,,,,,,
,,16,Decorazioni villa Zanelli (distrutta),,,,,,,,,
,,17,Decorazioni casa Archi e Strocchi presso il Carmine,,,,,,,,,
,,18,,,,,,,,,,
,,25,,,,,,,,,,
,,30,,,,,,,,,,
,,31,,,,,,,,,,
,,36,,,,,,,,,,
,,37,,,,,,,,,,
,,39,,,,,,,,,,
,,43,,,,,,,,,,
,,44,,,,,,,,,,
,,45,,,,,,,,,,
,,46,,,,,,,,,,
,,47,,,,,,,,,,
,,48,,,,,,,,,,
,,49,,,,,,,,,,
,,50,,,,,,,,,,
,,51,,,,,,,,,,
,,52,,,,,,,,,,
,,53,,,,,,,,,,
,,54,,,,,,,,,,
,,56,,,,,,,,,,
,,57,,,,,,,,,,
,,58,,,,,,,,,,
,,59,,,,,,,,,,
,,60,,,,,,,,,,
,,61,,,,,,,,,,
,,62,,,,,,,,,,
,,64,,,,,,,,,,
,,65,,,,,,,,,,
,,66,,,,,,,,,,
